hellsingova	2014	8	7	8.1	19	2011	36.8182
凉宫春日的忧郁	2014	8	7	8.4	28	2009	25.4545
妄想学生会	2014	8	7	9	26	2010	30
旋风管家	2014	8	7	8.8	52	2007	14.9153
加速世界	2014	8	7	9.2	34	2012	25.5556
叛逆的鲁鲁修	2014	8	7	8.9	50	2006	15.3448
Kanon	2014	8	7	9.1	24	2006	28.4375
littlebuster	2014	8	7	8.6	38	2012	21.5
天降之物	2014	8	7	8.8	27	2009	27.5
尸鬼	2014	8	7	8.7	24	2010	31.0714
初音岛	2014	8	7	8	48	2008	14.8148
吸血鬼骑士	2014	8	7	9	26	2008	28.125
笨蛋测验召唤兽	2014	8	7	9	24	2011	33.3333
滑头鬼之孙	2014	8	7	9.3	26	2011	32.069
银魂	2014	8	7	9.3	265	2006	3.40659
海贼王	2014	8	7	9.2	655	1999	1.37313
eva	2014	8	7	8.6	26	2009	27.7419
零之使魔	2014	8	8	9	37	2012	23.0769
潜行吧奈亚子	2014	8	8	9.1	38	2014	23.9474
黑执事	2014	8	8	9	24	2014	37.5
魔法少女奈叶	2014	8	8	8.6	54	2012	15.3571
出包女王	2014	8	9	8.7	55	2012	15.2632
彩云国物语	2014	8	11	8.7	78	2007	10.2353
花开伊吕波	2014	8	11	8.8	28	2013	30.3448
寒蝉鸣泣之时	2014	8	12	8.8	62	2013	13.9683
海狸鸣泣之时	2014	8	12	7	26	2009	22.5806
记录的地平线	2014	8	19	9	26	2013	33.3333
魔法先生	2014	8	19	8.2	62	2009	12.2388
幸运星	2014	8	19	8.8	25	2008	28.3871
蔷薇少女	2014	8	19	9	39	2013	22.5
夏目友人帐	2014	8	19	9.5	41	2014	23.1707
南家三姐妹	2014	8	21	8.8	56	2013	15.4386
创圣大天使	2014	8	24	8.5	53	2012	15.4545
翼年代记	2014	9	4	9	57	2009	14.5161
白色相簿	2014	9	7	8.4	27	2013	30
愿此刻永恒	2014	9	7	8.2	18	2007	32.8
shuffle	2014	9	7	8.8	36	2007	20.4651
游戏王怪兽之决斗	2014	9	8	8.2	224	2000	3.44538
游戏王gx	2014	9	8	8.3	180	2004	4.36842
游戏王arcv	2014	9	8	8.7	22	2014	39.5455
游戏王5ds	2014	9	8	8.3	154	2008	5.1875
游戏王zexal	2014	9	8	8.4	73	2012	11.2
游戏王	2014	9	8	5.8	19	1998	16.5714
无头骑士异闻录	2014	9	8	8.8	26	2010	29.3333
钢之炼金术师FA	2014	9	8	8.8	65	2009	12.5714
驭龙少年	2014	9	8	8	38	2002	16
棋魂	2014	9	8	9.3	76	2004	10.814
通灵王	2014	9	8	8.9	64	2001	11.5584
魔法小神童家旋	2014	9	8	8	150	2003	4.96894
我的朋友很少	2014	9	11	9.1	26	2013	33.7037
GOSICK	2014	9	11	9.3	24	2011	34.4444
今日的5年2班	2014	9	11	8.3	14	2009	43.6842
圣石小子	2014	9	11	8.4	51	2001	13.125
大剑	2014	9	12	8.5	26	2007	25.7576
神雕侠侣	2014	9	13	7.7	78	2007	9.05882
神风怪盗贞德	2014	9	16	8.6	44	1999	14.5763
四月一日灵异事件薄	2014	9	21	9	42	2011	20
地球保护者	2014	9	23	7.7	30	2002	18.3333
苏生龙王传说	2014	9	26	7.8	26	2004	21.6667
爆裂战士	2014	9	26	7.6	32	2000	16.5217
碧阳学园学生会议事录	2014	10	14	8.9	21	2013	40.4545
来自风平浪静的明天	2014	10	14	8.8	26	2013	32.5926
露蒂的玩具	2014	10	15	8.2	13	2011	51.25
空之境界	2014	11	4	8.6	35	2013	12.4132
真月谭月姬	2014	11	5	8.4	12	2003	18.5723
食灵零	2014	11	5	8.9	12	2008	22.4619
亲吻姐姐	2014	11	5	8	10	2008	23.3651
地狱少女	2014	11	5	9	78	2008	5.03571
死亡笔记	2014	11	10	8	37	2007	7.77966
无赖勇者的鬼畜美学	2014	11	20	8.5	13	2012	23.565
名侦探柯南	2014	11	21	9.4	84	2014	13.1302
苍穹之法芙娜	2014	12	20	8.3	28	2010	11.0918
守护猫娘绯鞠	2014	12	29	8.8	12	2010	23.76
超级酷乐猫	2014	12	29	8.4	65	1999	4.62256
数码暴龙3	2014	12	29	6.9	51	2001	4.80343
数码暴龙4	2014	12	29	7.6	50	2002	5.45641
数码暴龙5	2014	12	29	7.7	48	2006	6.13242
数码暴龙6	2014	12	29	5.7	79	2011	3.84318
蒙面超人古迦	2014	12	29	8.4	50	2000	5.87895
灰色果实	2014	12	31	9	13	2014	32.0769
天体的秩序	2014	12	31	8.3	13	2014	29.5821
关公说事	2015	1	3	8.5	13	2014	25.5
银仙	2015	1	3	9.4	12	2014	30.1054
百变小樱	2015	1	7	9.4	73	2000	4.68658
元气少女缘结神	2015	1	7	9	15	2015	29
狼少女与黑王子	2015	1	7	7.7	13	2014	23.1
邻座的怪同学	2015	1	7	8.6	14	2013	22.4121
只要你说你爱我	2015	1	7	9.1	14	2013	23.7152
妖狐×仆SS	2015	1	7	9.3	13	2012	24.4679
会长是女仆	2015	1	7	8.7	27	2010	11.5663
樱兰高校男公关部	2015	1	7	9.3	26	2006	11.6197
樱Trick	2015	1	9	8.5	12	2014	27.223
阴阳大战记	2015	1	12	8.1	52	2004	5.69852
悠久之翼	2015	1	12	8.7	24	2008	12.1002
东京地震8.0	2015	1	12	8.6	11	2009	23.2799
诗片	2015	1	12	7.9	13	2004	16.4583
六翼天使之声	2015	1	14	7.2	12	1999	14.2697
人形电脑天使心	2015	1	15	8.8	28	2002	9.70074
天使领域	2015	1	15	8.2	26	2001	9.45971
圣母在上	2015	1	16	8.4	44	2009	7.4253
惊爆草莓	2015	1	16	8.8	26	2006	10.9949
舞HIME	2015	1	16	8.6	52	2005	6.06217
神无月的巫女	2015	1	16	8.7	12	2004	19.2356
白箱	2015	1	18	5	14	2014	14.1279
结城友奈是勇者	2015	1	18	8.5	12	2014	27.223
死囚乐园	2015	1	22	8.8	13	2011	22.2251
妖精的旋律	2015	1	22	7	14	2004	13.7909
奇幻贵公子	2015	1	22	9	25	2006	11.6143
怪物MONSTER	2015	1	22	8.1	74	2005	4.27492
BLOOD-C	2015	1	22	9	13	2012	23.6786
AZ	2015	1	24	8.4	14	2015	20.6
双斩少女	2015	1	24	8.4	24	2013	12.0757
肯普法	2015	1	25	8	14	2009	13.9048
恶魔之谜	2015	1	30	8.7	12	2014	20.2423
黑之契约者	2015	2	10	8.7	46	2010	7.66618
偶像大师	2015	2	10	8.6	58	2015	11.8139
花丸幼稚园	2015	2	11	8.9	12	2010	17.1271
无限斯特拉托斯	2015	2	14	9.1	27	2014	12.8238
恶魔高校	2015	2	14	6	14	2013	12.8182
高达seed重制版	2015	2	14	9.2	98	2013	6.20649
搞笑漫画日和	2015	2	14	8.9	62	2010	6.21818
火力少年王	2015	2	15	7.9	66	2014	7.98
来自新世界	2015	2	17	9	25	2012	11.8942
翠星	2015	2	17	8.6	14	2014	17.8667
摇曳百合	2015	2	22	8.6	24	2012	11.8083
丧女	2015	2	22	9.2	12	2013	19.8515
家庭教师	2015	3	1	9.2	136	2010	3.77732
妖精的尾巴	2015	3	1	9.1	223	2014	5.9143
死神	2015	3	1	8.8	367	2008	1.89639
全职猎人	2015	3	1	8.9	149	2013	4.96215
交响诗篇	2015	3	2	8.6	76	2012	5.92193
索斯机械兽	2015	3	2	8.2	131	2005	2.79573
犬夜叉	2015	3	2	8.7	196	2010	2.9246
口袋妖怪剧场版	2015	3	2	9.4	54	2015	15.3099
灌篮高手	2015	3	2	9.5	103	2013	6.25099
男子高中生的日常	2015	3	5	9.1	18	2012	18.2399
恐怖残响	2015	3	9	8.5	11	2014	24.625
中华小当家	2015	3	9	9.1	52	1997	5.80941
龙珠	2015	3	9	8.6	153	1986	2.06048
龙珠改	2015	3	9	9	143	2014	6.60766
龙珠GT	2015	3	9	8	64	1996	4.25071
某科学的超电磁炮	2015	3	9	9.1	34	2015	18.284
某科学的一方通行	2015	3	9	9	9	2015	30.7778
美少女战士	2015	3	9	8.9	200	2014	5.93827
超级索尼子	2015	3	9	8.4	12	2014	23.4514
地球防卫少年	2015	3	10	8.4	24	2007	11.4333
初恋限定	2015	3	12	8.4	18	2009	15.2
高达W	2015	3	15	7.5	49	1995	4.93981
高达UC	2015	3	15	7	6	2010	25.8007
徽章战士	2015	3	15	8	24	2000	9.6954
魔力宝贝：真女神转生	2015	3	15	6.4	49	2000	4.43124
阿尔卑斯山的少女	2015	3	15	8.5	52	1974	4.60008
不可思议游戏	2015	3	16	8.5	65	2001	4.69622
怪盗圣少女	2015	3	17	8.9	43	1995	6.53587
时空冒险记	2015	3	20	5	26	2004	6.03464
四月是你的谎言	2015	3	21	10	22	2015	22.5758
未闻花名	2015	3	21	9.2	12	2013	23.6386
clannad	2015	3	21	9.4	49	2008	7.40347
只有神知道的世界	2015	3	21	9.2	39	2013	3.21903
七大罪	2015	3	21	8.8	22	2014	17.5343
天才麻将少女	2015	3	24	8.8	54	2014	9.89875
人类衰退之后	2015	3	24	8.5	18	2012	17.0373
强袭魔女	2015	3	24	8.5	26	2012	12.6188
侵略乌贼娘	2015	3	24	8.9	25	2012	13.6353
迷糊餐厅	2015	3	24	8.1	39	2011	8.48586
竹刀少女	2015	3	24	7.6	27	2007	9.38377
传颂之物	2015	3	24	8.8	29	2009	10.7195
校园迷糊大王	2015	3	24	8.5	56	2008	6.00638
极上生徒会	2015	3	24	8.2	26	2005	10.0636
MADLAX	2015	3	24	8.2	26	2004	9.89682
明日的娜嘉	2015	3	24	8.1	50	2003	5.72308
无人惑星	2015	3	24	8.2	52	2004	0.819546
光与水的女神	2015	3	24	8	26	2004	9.65543
银河天使	2015	3	24	7.3	106	2006	2.98348
百变之星	2015	3	24	8.5	53	2005	5.89721
光之美少女	2015	3	24	8.3	391	2014	4.85879
天使怪盗	2015	3	24	8.8	26	2003	10.4547
高机动幻想	2015	3	24	7.5	36	2007	7.47845
天使特警	2015	3	24	8.7	48	2009	7.16369
推理之绊	2015	3	24	8.9	25	2002	10.7494
钢铁守护者	2015	3	24	7.3	26	2003	8.67265
妄想科学美少女	2015	3	24	7	12	2003	15.1218
星空防卫队	2015	3	24	7.6	13	2003	15.4866
阿兹漫画大王	2015	3	24	8.3	26	2002	9.71374
小魔女doremi	2015	3	24	7.3	201	2002	1.71239
代号17	2015	3	24	8	13	2002	15.956
迷糊天使	2015	3	24	8.4	26	2002	9.83077
飞吧!依莎美	2015	3	24	5	24	2002	6.2395
